Model name,XAI method,Model type,Metric name,Metric value,Image,Image class,Prediction
ResNet18,GradCAM,Baseline,Deletion,0.987811369355768,103,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9986615716479719,104,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9905172786675394,105,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9971424648538232,106,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9942674455232918,107,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9979629148729146,108,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9788019796833396,109,River,True
ResNet18,GradCAM,Baseline,Deletion,0.9915267792530358,110,River,True
ResNet18,GradCAM,FDA,Deletion,0.06852931681569085,1,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.11505027844391691,2,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.09143489759458134,3,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.05084200097417124,4,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.025109934675100476,5,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.053343813329959744,6,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.026135651684644268,7,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.09590379770679647,8,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.05146084576599286,9,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.054320680898239715,10,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.06585224399104206,11,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.09764814676483269,12,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.05488782978076401,13,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.05564611530597219,14,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.054696520867452136,15,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.14176837771265127,16,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.9214949827000964,17,Highway,False
ResNet18,GradCAM,FDA,Deletion,0.04310091004958161,18,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.0834265072968492,19,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.07137308493469874,20,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.03511740602547603,21,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.9878531699068844,22,Highway,False
ResNet18,GradCAM,FDA,Deletion,0.06982961486835393,23,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.0283735145255406,24,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.021940206308473265,25,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.07425913341876367,26,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.05596246549506523,27,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.0610420360264925,28,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.044123719225488425,29,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.01956777387257347,30,Highway,True
ResNet18,GradCAM,FDA,Deletion,0.9949171477928758,31,River,True
ResNet18,GradCAM,FDA,Deletion,0.994106462225318,32,River,True
