Model name,Augmentation method,Seed,Config,Metric name,Metric value,Mapping,Method
ResNet18,FDA,2,Config_2,Err_nor_rv,1.023890784982935,"(600, 1100, 'CE')",Aug
ResNet18,FDA,2,Config_2,Err_hw,1.28,"(600, 1100, 'CE')",Aug
ResNet18,FDA,2,Config_2,Err_rv,0.96,"(600, 1100, 'CE')",Aug
ResNet18,FDA,3,Config_2,Err_bl_hw,0.0,"(600, 1100, 'CE')",Aug
ResNet18,FDA,3,Config_2,Err_bl_rv,0.0,"(600, 1100, 'CE')",Aug
ResNet18,FDA,3,Config_2,Err_bl,0.0,"(600, 1100, 'CE')",Aug
ResNet18,FDA,3,Config_2,Err_nor,2.0066889632107023,"(600, 1100, 'CE')",Aug
ResNet18,FDA,3,Config_2,Err_nor_hw,2.1311475409836063,"(600, 1100, 'CE')",Aug
ResNet18,FDA,3,Config_2,Err_nor_rv,1.877133105802048,"(600, 1100, 'CE')",Aug
ResNet18,FDA,3,Config_2,Err_hw,2.08,"(600, 1100, 'CE')",Aug
ResNet18,FDA,3,Config_2,Err_rv,1.76,"(600, 1100, 'CE')",Aug
ResNet18,FDA,4,Config_2,Err_bl_hw,0.0,"(600, 1100, 'CE')",Aug
ResNet18,FDA,4,Config_2,Err_bl_rv,2.564102564102564,"(600, 1100, 'CE')",Aug
ResNet18,FDA,4,Config_2,Err_bl,1.8518518518518516,"(600, 1100, 'CE')",Aug
ResNet18,FDA,4,Config_2,Err_nor,1.588628762541806,"(600, 1100, 'CE')",Aug
ResNet18,FDA,4,Config_2,Err_nor_hw,1.1475409836065573,"(600, 1100, 'CE')",Aug
ResNet18,FDA,4,Config_2,Err_nor_rv,2.04778156996587,"(600, 1100, 'CE')",Aug
ResNet18,FDA,4,Config_2,Err_hw,1.1199999999999999,"(600, 1100, 'CE')",Aug
ResNet18,FDA,4,Config_2,Err_rv,2.08,"(600, 1100, 'CE')",Aug
ResNet18,FDA,5,Config_2,Err_bl_hw,0.0,"(600, 1100, 'CE')",Aug
ResNet18,FDA,5,Config_2,Err_bl_rv,2.564102564102564,"(600, 1100, 'CE')",Aug
ResNet18,FDA,5,Config_2,Err_bl,1.8518518518518516,"(600, 1100, 'CE')",Aug
ResNet18,FDA,5,Config_2,Err_nor,2.0066889632107023,"(600, 1100, 'CE')",Aug
ResNet18,FDA,5,Config_2,Err_nor_hw,2.2950819672131146,"(600, 1100, 'CE')",Aug
ResNet18,FDA,5,Config_2,Err_nor_rv,1.7064846416382253,"(600, 1100, 'CE')",Aug
ResNet18,FDA,5,Config_2,Err_hw,2.2399999999999998,"(600, 1100, 'CE')",Aug
ResNet18,FDA,5,Config_2,Err_rv,1.76,"(600, 1100, 'CE')",Aug
ResNet18,FDA,6,Config_2,Err_bl_hw,0.0,"(600, 1100, 'CE')",Aug
ResNet18,FDA,6,Config_2,Err_bl_rv,0.0,"(600, 1100, 'CE')",Aug
ResNet18,FDA,6,Config_2,Err_bl,0.0,"(600, 1100, 'CE')",Aug
ResNet18,FDA,6,Config_2,Err_nor,2.25752508361204,"(600, 1100, 'CE')",Aug
ResNet18,FDA,6,Config_2,Err_nor_hw,2.2950819672131146,"(600, 1100, 'CE')",Aug
ResNet18,FDA,6,Config_2,Err_nor_rv,2.218430034129693,"(600, 1100, 'CE')",Aug
ResNet18,FDA,6,Config_2,Err_hw,2.2399999999999998,"(600, 1100, 'CE')",Aug
ResNet18,FDA,6,Config_2,Err_rv,2.08,"(600, 1100, 'CE')",Aug
ResNet18,FDA,7,Config_2,Err_bl_hw,0.0,"(600, 1100, 'CE')",Aug
ResNet18,FDA,7,Config_2,Err_bl_rv,0.0,"(600, 1100, 'CE')",Aug
ResNet18,FDA,7,Config_2,Err_bl,0.0,"(600, 1100, 'CE')",Aug
ResNet18,FDA,7,Config_2,Err_nor,1.9230769230769231,"(600, 1100, 'CE')",Aug
ResNet18,FDA,7,Config_2,Err_nor_hw,1.639344262295082,"(600, 1100, 'CE')",Aug
ResNet18,FDA,7,Config_2,Err_nor_rv,2.218430034129693,"(600, 1100, 'CE')",Aug
ResNet18,FDA,7,Config_2,Err_hw,1.6,"(600, 1100, 'CE')",Aug
ResNet18,FDA,7,Config_2,Err_rv,2.08,"(600, 1100, 'CE')",Aug
ResNet18,FDA,8,Config_2,Err_bl_hw,0.0,"(600, 1100, 'CE')",Aug
ResNet18,FDA,8,Config_2,Err_bl_rv,5.128205128205128,"(600, 1100, 'CE')",Aug
ResNet18,FDA,8,Config_2,Err_bl,3.7037037037037033,"(600, 1100, 'CE')",Aug
ResNet18,FDA,8,Config_2,Err_nor,1.839464882943144,"(600, 1100, 'CE')",Aug
ResNet18,FDA,8,Config_2,Err_nor_hw,1.639344262295082,"(600, 1100, 'CE')",Aug
ResNet18,FDA,8,Config_2,Err_nor_rv,2.04778156996587,"(600, 1100, 'CE')",Aug
ResNet18,FDA,8,Config_2,Err_hw,1.6,"(600, 1100, 'CE')",Aug
ResNet18,FDA,8,Config_2,Err_rv,2.2399999999999998,"(600, 1100, 'CE')",Aug
ResNet18,FDA,9,Config_2,Err_bl_hw,6.666666666666667,"(600, 1100, 'CE')",Aug
ResNet18,FDA,9,Config_2,Err_bl_rv,2.564102564102564,"(600, 1100, 'CE')",Aug
ResNet18,FDA,9,Config_2,Err_bl,3.7037037037037033,"(600, 1100, 'CE')",Aug
ResNet18,FDA,9,Config_2,Err_nor,1.254180602006689,"(600, 1100, 'CE')",Aug
ResNet18,FDA,9,Config_2,Err_nor_hw,1.3114754098360655,"(600, 1100, 'CE')",Aug
ResNet18,FDA,9,Config_2,Err_nor_rv,1.1945392491467577,"(600, 1100, 'CE')",Aug
ResNet18,FDA,9,Config_2,Err_hw,1.44,"(600, 1100, 'CE')",Aug
ResNet18,FDA,9,Config_2,Err_rv,1.28,"(600, 1100, 'CE')",Aug
ResNet18,FDA,10,Config_2,Err_bl_hw,6.666666666666667,"(600, 1100, 'CE')",Aug
ResNet18,FDA,10,Config_2,Err_bl_rv,0.0,"(600, 1100, 'CE')",Aug
ResNet18,FDA,10,Config_2,Err_bl,1.8518518518518516,"(600, 1100, 'CE')",Aug
ResNet18,FDA,10,Config_2,Err_nor,1.7558528428093645,"(600, 1100, 'CE')",Aug
ResNet18,FDA,10,Config_2,Err_nor_hw,1.9672131147540985,"(600, 1100, 'CE')",Aug
ResNet18,FDA,10,Config_2,Err_nor_rv,1.5358361774744027,"(600, 1100, 'CE')",Aug
ResNet18,FDA,10,Config_2,Err_hw,2.08,"(600, 1100, 'CE')",Aug
ResNet18,FDA,10,Config_2,Err_rv,1.44,"(600, 1100, 'CE')",Aug
ResNet18,FDA,1,Config_3,Err_bl_hw,53.333333333333336,"(0, 0, 'BC')",BC
ResNet18,FDA,1,Config_3,Err_bl_rv,30.76923076923077,"(0, 0, 'BC')",BC
ResNet18,FDA,1,Config_3,Err_bl,37.03703703703704,"(0, 0, 'BC')",BC
ResNet18,FDA,1,Config_3,Err_nor,21.57190635451505,"(0, 0, 'BC')",BC
ResNet18,FDA,1,Config_3,Err_nor_hw,16.39344262295082,"(0, 0, 'BC')",BC
ResNet18,FDA,1,Config_3,Err_nor_rv,26.96245733788396,"(0, 0, 'BC')",BC
ResNet18,FDA,1,Config_3,Err_hw,17.28,"(0, 0, 'BC')",BC
ResNet18,FDA,1,Config_3,Err_rv,27.200000000000003,"(0, 0, 'BC')",BC
ResNet18,FDA,2,Config_3,Err_bl_hw,53.333333333333336,"(0, 0, 'BC')",BC
ResNet18,FDA,2,Config_3,Err_bl_rv,30.76923076923077,"(0, 0, 'BC')",BC
ResNet18,FDA,2,Config_3,Err_bl,37.03703703703704,"(0, 0, 'BC')",BC
ResNet18,FDA,2,Config_3,Err_nor,16.806020066889634,"(0, 0, 'BC')",BC
ResNet18,FDA,2,Config_3,Err_nor_hw,9.180327868852459,"(0, 0, 'BC')",BC
ResNet18,FDA,2,Config_3,Err_nor_rv,24.744027303754265,"(0, 0, 'BC')",BC
ResNet18,FDA,2,Config_3,Err_hw,10.24,"(0, 0, 'BC')",BC
ResNet18,FDA,2,Config_3,Err_rv,25.119999999999997,"(0, 0, 'BC')",BC
ResNet18,FDA,3,Config_3,Err_bl_hw,66.66666666666666,"(0, 0, 'BC')",BC
ResNet18,FDA,3,Config_3,Err_bl_rv,25.64102564102564,"(0, 0, 'BC')",BC
ResNet18,FDA,3,Config_3,Err_bl,37.03703703703704,"(0, 0, 'BC')",BC
ResNet18,FDA,3,Config_3,Err_nor,16.88963210702341,"(0, 0, 'BC')",BC
ResNet18,FDA,3,Config_3,Err_nor_hw,9.508196721311474,"(0, 0, 'BC')",BC
ResNet18,FDA,3,Config_3,Err_nor_rv,24.573378839590443,"(0, 0, 'BC')",BC
ResNet18,FDA,3,Config_3,Err_hw,10.879999999999999,"(0, 0, 'BC')",BC
ResNet18,FDA,3,Config_3,Err_rv,24.64,"(0, 0, 'BC')",BC
ResNet18,FDA,4,Config_3,Err_bl_hw,53.333333333333336,"(0, 0, 'BC')",BC
ResNet18,FDA,4,Config_3,Err_bl_rv,38.46153846153847,"(0, 0, 'BC')",BC
ResNet18,FDA,4,Config_3,Err_bl,42.592592592592595,"(0, 0, 'BC')",BC
ResNet18,FDA,4,Config_3,Err_nor,21.57190635451505,"(0, 0, 'BC')",BC
ResNet18,FDA,4,Config_3,Err_nor_hw,10.655737704918032,"(0, 0, 'BC')",BC
ResNet18,FDA,4,Config_3,Err_nor_rv,32.93515358361775,"(0, 0, 'BC')",BC
ResNet18,FDA,4,Config_3,Err_hw,11.68,"(0, 0, 'BC')",BC
ResNet18,FDA,4,Config_3,Err_rv,33.28,"(0, 0, 'BC')",BC
ResNet18,FDA,5,Config_3,Err_bl_hw,53.333333333333336,"(0, 0, 'BC')",BC
ResNet18,FDA,5,Config_3,Err_bl_rv,12.82051282051282,"(0, 0, 'BC')",BC
ResNet18,FDA,5,Config_3,Err_bl,24.074074074074073,"(0, 0, 'BC')",BC
ResNet18,FDA,5,Config_3,Err_nor,14.381270903010032,"(0, 0, 'BC')",BC
ResNet18,FDA,5,Config_3,Err_nor_hw,9.672131147540984,"(0, 0, 'BC')",BC
ResNet18,FDA,5,Config_3,Err_nor_rv,19.283276450511945,"(0, 0, 'BC')",BC
ResNet18,FDA,5,Config_3,Err_hw,10.72,"(0, 0, 'BC')",BC
ResNet18,FDA,5,Config_3,Err_rv,18.88,"(0, 0, 'BC')",BC
ResNet18,FDA,6,Config_3,Err_bl_hw,0.0,"(0, 0, 'BC')",BC
ResNet18,FDA,6,Config_3,Err_bl_rv,82.05128205128204,"(0, 0, 'BC')",BC
ResNet18,FDA,6,Config_3,Err_bl,59.25925925925925,"(0, 0, 'BC')",BC
ResNet18,FDA,6,Config_3,Err_nor,18.394648829431436,"(0, 0, 'BC')",BC
ResNet18,FDA,6,Config_3,Err_nor_hw,6.557377049180328,"(0, 0, 'BC')",BC
ResNet18,FDA,6,Config_3,Err_nor_rv,30.716723549488055,"(0, 0, 'BC')",BC
ResNet18,FDA,6,Config_3,Err_hw,6.4,"(0, 0, 'BC')",BC
ResNet18,FDA,6,Config_3,Err_rv,33.92,"(0, 0, 'BC')",BC
ResNet18,FDA,7,Config_3,Err_bl_hw,80.0,"(0, 0, 'BC')",BC
ResNet18,FDA,7,Config_3,Err_bl_rv,12.82051282051282,"(0, 0, 'BC')",BC
ResNet18,FDA,7,Config_3,Err_bl,31.48148148148148,"(0, 0, 'BC')",BC
ResNet18,FDA,7,Config_3,Err_nor,24.91638795986622,"(0, 0, 'BC')",BC
ResNet18,FDA,7,Config_3,Err_nor_hw,8.19672131147541,"(0, 0, 'BC')",BC
ResNet18,FDA,7,Config_3,Err_nor_rv,42.32081911262799,"(0, 0, 'BC')",BC
ResNet18,FDA,7,Config_3,Err_hw,9.92,"(0, 0, 'BC')",BC
ResNet18,FDA,7,Config_3,Err_rv,40.48,"(0, 0, 'BC')",BC
ResNet18,FDA,8,Config_3,Err_bl_hw,60.0,"(0, 0, 'BC')",BC
ResNet18,FDA,8,Config_3,Err_bl_rv,15.384615384615385,"(0, 0, 'BC')",BC
ResNet18,FDA,8,Config_3,Err_bl,27.77777777777778,"(0, 0, 'BC')",BC
ResNet18,FDA,8,Config_3,Err_nor,10.200668896321071,"(0, 0, 'BC')",BC
ResNet18,FDA,8,Config_3,Err_nor_hw,4.2622950819672125,"(0, 0, 'BC')",BC
ResNet18,FDA,8,Config_3,Err_nor_rv,16.38225255972696,"(0, 0, 'BC')",BC
ResNet18,FDA,8,Config_3,Err_hw,5.6000000000000005,"(0, 0, 'BC')",BC
ResNet18,FDA,8,Config_3,Err_rv,16.32,"(0, 0, 'BC')",BC
ResNet18,FDA,9,Config_3,Err_bl_hw,26.666666666666668,"(0, 0, 'BC')",BC
ResNet18,FDA,9,Config_3,Err_bl_rv,58.97435897435898,"(0, 0, 'BC')",BC
ResNet18,FDA,9,Config_3,Err_bl,50.0,"(0, 0, 'BC')",BC
ResNet18,FDA,9,Config_3,Err_nor,24.74916387959866,"(0, 0, 'BC')",BC
ResNet18,FDA,9,Config_3,Err_nor_hw,31.80327868852459,"(0, 0, 'BC')",BC
ResNet18,FDA,9,Config_3,Err_nor_rv,17.4061433447099,"(0, 0, 'BC')",BC
ResNet18,FDA,9,Config_3,Err_hw,31.680000000000003,"(0, 0, 'BC')",BC
ResNet18,FDA,9,Config_3,Err_rv,20.0,"(0, 0, 'BC')",BC
ResNet18,FDA,10,Config_3,Err_bl_hw,73.33333333333333,"(0, 0, 'BC')",BC
ResNet18,FDA,10,Config_3,Err_bl_rv,5.128205128205128,"(0, 0, 'BC')",BC
ResNet18,FDA,10,Config_3,Err_bl,24.074074074074073,"(0, 0, 'BC')",BC
ResNet18,FDA,10,Config_3,Err_nor,22.32441471571906,"(0, 0, 'BC')",BC
ResNet18,FDA,10,Config_3,Err_nor_hw,36.22950819672131,"(0, 0, 'BC')",BC
ResNet18,FDA,10,Config_3,Err_nor_rv,7.849829351535837,"(0, 0, 'BC')",BC
ResNet18,FDA,10,Config_3,Err_hw,37.12,"(0, 0, 'BC')",BC
ResNet18,FDA,10,Config_3,Err_rv,7.68,"(0, 0, 'BC')",BC
ResNet18,FDA,1,Config_4,Err_bl_hw,0.0,"(0, 0, 'BB')",BB
ResNet18,FDA,1,Config_4,Err_bl_rv,7.6923076923076925,"(0, 0, 'BB')",BB
