Model name,Augmentation method,Seed,Config,Metric name,Metric value,Mapping,Method
Vgg16,FDA,3,Config_2,Err_nor_hw,1.9672131147540985,"(200, 1000, 'CE')",Aug
Vgg16,FDA,3,Config_2,Err_nor_rv,5.802047781569966,"(200, 1000, 'CE')",Aug
Vgg16,FDA,3,Config_2,Err_hw,1.92,"(200, 1000, 'CE')",Aug
Vgg16,FDA,3,Config_2,Err_rv,5.6000000000000005,"(200, 1000, 'CE')",Aug
Vgg16,FDA,4,Config_2,Err_bl_hw,0.0,"(200, 1000, 'CE')",Aug
Vgg16,FDA,4,Config_2,Err_bl_rv,2.564102564102564,"(200, 1000, 'CE')",Aug
Vgg16,FDA,4,Config_2,Err_bl,1.8518518518518516,"(200, 1000, 'CE')",Aug
Vgg16,FDA,4,Config_2,Err_nor,4.013377926421405,"(200, 1000, 'CE')",Aug
Vgg16,FDA,4,Config_2,Err_nor_hw,4.754098360655737,"(200, 1000, 'CE')",Aug
Vgg16,FDA,4,Config_2,Err_nor_rv,3.242320819112628,"(200, 1000, 'CE')",Aug
Vgg16,FDA,4,Config_2,Err_hw,4.64,"(200, 1000, 'CE')",Aug
Vgg16,FDA,4,Config_2,Err_rv,3.2,"(200, 1000, 'CE')",Aug
Vgg16,FDA,5,Config_2,Err_bl_hw,0.0,"(200, 1000, 'CE')",Aug
Vgg16,FDA,5,Config_2,Err_bl_rv,0.0,"(200, 1000, 'CE')",Aug
Vgg16,FDA,5,Config_2,Err_bl,0.0,"(200, 1000, 'CE')",Aug
Vgg16,FDA,5,Config_2,Err_nor,3.511705685618729,"(200, 1000, 'CE')",Aug
Vgg16,FDA,5,Config_2,Err_nor_hw,3.7704918032786887,"(200, 1000, 'CE')",Aug
Vgg16,FDA,5,Config_2,Err_nor_rv,3.242320819112628,"(200, 1000, 'CE')",Aug
Vgg16,FDA,5,Config_2,Err_hw,3.6799999999999997,"(200, 1000, 'CE')",Aug
Vgg16,FDA,5,Config_2,Err_rv,3.04,"(200, 1000, 'CE')",Aug
Vgg16,FDA,6,Config_2,Err_bl_hw,0.0,"(200, 1000, 'CE')",Aug
Vgg16,FDA,6,Config_2,Err_bl_rv,0.0,"(200, 1000, 'CE')",Aug
Vgg16,FDA,6,Config_2,Err_bl,0.0,"(200, 1000, 'CE')",Aug
Vgg16,FDA,6,Config_2,Err_nor,3.3444816053511706,"(200, 1000, 'CE')",Aug
Vgg16,FDA,6,Config_2,Err_nor_hw,3.4426229508196724,"(200, 1000, 'CE')",Aug
Vgg16,FDA,6,Config_2,Err_nor_rv,3.242320819112628,"(200, 1000, 'CE')",Aug
Vgg16,FDA,6,Config_2,Err_hw,3.36,"(200, 1000, 'CE')",Aug
Vgg16,FDA,6,Config_2,Err_rv,3.04,"(200, 1000, 'CE')",Aug
Vgg16,FDA,7,Config_2,Err_bl_hw,6.666666666666667,"(200, 1000, 'CE')",Aug
Vgg16,FDA,7,Config_2,Err_bl_rv,0.0,"(200, 1000, 'CE')",Aug
Vgg16,FDA,7,Config_2,Err_bl,1.8518518518518516,"(200, 1000, 'CE')",Aug
Vgg16,FDA,7,Config_2,Err_nor,3.3444816053511706,"(200, 1000, 'CE')",Aug
